task_id	status	name	energy_consumption	CO2e	CO2e_market	carbon_intensity	%cpu	memory	realtime	cpus	powerdraw_cpu	cpu_model	raw_energy_processor	raw_energy_memory
3	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa)	5.48 mWh	2.63 mg	-	480 gCO₂e/kWh	255.6 %	6 GB	1s 0ms	3	3.75 W	AMD EPYC 7282 16-Core Processor	2.66 mWh	620.83 uWh
4	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv)	0 Wh	0 g	-	480 gCO₂e/kWh	81.2 %	6 GB	0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
2	COMPLETED	NFCORE_CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf)	1.98 mWh	948.56 ug	-	480 gCO₂e/kWh	54 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	562.5 uWh	620.83 uWh
1	COMPLETED	NFCORE_CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	0 Wh	0 g	-	480 gCO₂e/kWh	58.4 %	6 GB	0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
5	COMPLETED	NFCORE_CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa)	15.73 mWh	7.55 mg	-	480 gCO₂e/kWh	91.1 %	6 GB	6s 0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	5.69 mWh	3.73 mWh
6	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SPT5_INPUT_REP1_T1)	19.32 mWh	9.27 mg	-	480 gCO₂e/kWh	162.5 %	6 GB	5s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	8.46 mWh	3.1 mWh
14	COMPLETED	NFCORE_CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes)	0 Wh	0 g	-	480 gCO₂e/kWh	101.1 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
8	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SPT5_INPUT_REP2_T1)	20.78 mWh	9.97 mg	-	480 gCO₂e/kWh	139.5 %	6 GB	6s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	8.72 mWh	3.73 mWh
11	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SPT5_T0_REP1_T1)	18.44 mWh	8.85 mg	-	480 gCO₂e/kWh	152.4 %	6 GB	5s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	7.94 mWh	3.1 mWh
16	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SPT5_T15_REP1_T1)	24.61 mWh	11.81 mg	-	480 gCO₂e/kWh	176.2 %	6 GB	6s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	11.01 mWh	3.73 mWh
